timestamp,data
1748297423633500400,-1.3452
1748297423633503200,V
1748297423643505200,C
1748297423643528200,h1:
1748297423643531900,-0.0003
1748297423643534700,V
1748297423643537900,Ch2:
1748297423643540800,0.0009
1748297423643543500,V
1748297423643546200,Ch3:
1748297423643551600,0.0339
1748297423643554600,V
1748297423643557600,Ch4:
1748297423643560700,-1.6196
1748297423643563300,V
1748297423653545600,C
1748297423653564900,h1:
1748297423653568700,-0.0003
1748297423653571800,V
1748297423653574500,Ch2:
1748297423653577300,0.0009
1748297423653579800,V
1748297423653582900,Ch3:
1748297423653585700,0.0327
1748297423653588300,V
1748297423653591300,Ch4:
1748297423653594100,-1.8250
1748297423653596600,V
1748297423663438200,C
1748297423663460500,h1:
1748297423663464800,-0.0003
1748297423663467500,V
1748297423663470400,Ch2:
1748297423663473400,0.0006
1748297423663476400,V
1748297423663479900,Ch3:
1748297423663482700,0.0323
1748297423663485600,V
1748297423663488500,Ch4:
1748297423663491900,-1.9522
1748297423663494700,V
1748297423673619600,C
1748297423673644100,h1:
1748297423673648000,-0.0003
1748297423673650900,V
1748297423673653900,Ch2:
1748297423673657300,0.0006
1748297423673659800,V
1748297423673666500,Ch3:
1748297423673671000,0.0308
1748297423673673700,V
1748297423673676800,Ch4:
1748297423673679600,-1.9962
1748297423673682300,V
1748297423683581700,C
1748297423683609100,h1:
1748297423683613300,0.0000
1748297423683616600,V
1748297423683619800,Ch2:
1748297423683622800,0.0006
1748297423683625800,V
1748297423683628500,Ch3:
1748297423683631300,0.0278
1748297423683634200,V
1748297423683637200,Ch4:
1748297423683639900,-1.9534
1748297423683642500,V
1748297423693589900,C
1748297423693602900,h1:
1748297423693606600,-0.0006
1748297423693609700,V
1748297423693612700,Ch2:
1748297423693615700,0.0003
1748297423693618200,V
1748297423693621100,Ch3:
1748297423693623800,0.0235
1748297423693626900,V
1748297423693629700,Ch4:
1748297423693632800,-1.8289
1748297423693635600,V
1748297423703568300,C
1748297423703594400,h1:
1748297423703598400,0.0000
1748297423703601400,V
1748297423703604700,Ch2:
1748297423703607700,0.0006
1748297423703610400,V
1748297423703613000,Ch3:
1748297423703615900,0.0192
1748297423703618600,V
1748297423703621300,Ch4:
1748297423703624000,-1.6251
1748297423703626800,V
1748297423713583100,C
1748297423713603400,h1:
1748297423713607200,-0.0003
1748297423713610100,V
1748297423713612900,Ch2:
1748297423713615900,0.0003
1748297423713618500,V
1748297423713621600,Ch3:
1748297423713624300,0.0143
1748297423713626900,V
1748297423713629800,Ch4:
1748297423713632700,-1.3528
1748297423713635200,V
1748297423723684300,C
1748297423723711400,h1:
1748297423723715600,-0.0003
1748297423723718600,V
1748297423723721600,Ch2:
1748297423723724600,0.0006
1748297423723727800,V
1748297423723730700,Ch3:
1748297423723733700,0.0092
1748297423723736200,V
1748297423723739100,Ch4:
1748297423723741700,-1.0214
1748297423723744200,V
1748297423733748700,C
1748297423733771500,h1:
1748297423733775400,-0.0003
1748297423733778100,V
1748297423733781000,Ch2:
1748297423733784100,0.0006
1748297423733787000,V
1748297423733790100,Ch3:
1748297423733793100,0.0040
1748297423733795700,V
1748297423733798500,Ch4:
1748297423733801700,-0.6470
1748297423733804700,V
1748297423743822400,C
1748297423743842700,h1:
1748297423743846400,-0.0006
1748297423743849100,V
1748297423743852200,Ch2:
1748297423743855300,0.0003
1748297423743858300,V
1748297423743861100,Ch3:
1748297423743863700,-0.0012
1748297423743866300,V
1748297423743869000,Ch4:
1748297423743872000,-0.2444
1748297423743874600,V
1748297423753877200,C
1748297423753899700,h1:
1748297423753903300,0.0000
1748297423753906000,V
1748297423753909100,Ch2:
1748297423753911900,0.0006
1748297423753914800,V
1748297423753917700,Ch3:
1748297423753920600,-0.0064
1748297423753923100,V
1748297423753926000,Ch4:
1748297423753929100,0.1685
1748297423753931800,V
1748297423763876300,C
1748297423763896900,h1:
1748297423763900500,-0.0003
1748297423763903600,V
1748297423763906800,Ch2:
1748297423763909600,0.0003
1748297423763912300,V
1748297423763915100,Ch3:
1748297423763918200,-0.0110
1748297423763921000,V
1748297423763923800,Ch4:
1748297423763926700,0.5750
1748297423763929800,V
1748297423774029100,C
1748297423774060700,h1:
1748297423774064700,-0.0003
1748297423774067400,V
1748297423774070400,Ch2:
1748297423774073400,0.0003
1748297423774076300,V
1748297423774079500,Ch3:
1748297423774082600,-0.0140
1748297423774085300,V
1748297423774088400,Ch4:
1748297423774091100,0.9558
1748297423774093800,V
1748297423783989600,C
1748297423784016900,h1:
1748297423784021100,-0.0003
1748297423784024500,V
1748297423784028200,Ch2:
1748297423784031500,0.0006
1748297423784034700,V
1748297423784038000,Ch3:
1748297423784041400,-0.0165
1748297423784044400,V
1748297423784047600,Ch4:
1748297423784051200,1.2961
1748297423784054400,V
1748297423794125000,C
1748297423794154100,h1:
1748297423794157800,-0.0006
1748297423794160600,V
1748297423794163700,Ch2:
1748297423794166500,0.0006
1748297423794169100,V
1748297423794171900,Ch3:
1748297423794175400,-0.0177
1748297423794178200,V
1748297423794181000,Ch4:
1748297423794183800,1.5820
1748297423794186500,V
